CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
4,13,1,13,1
6,1,1,8,10
25,1,83,1,1
4,23,1,1,1
2,1,7,3,1
35,1,2,1,1
9,180,238,3,30
26,4,22,1,443
10,5,5,1,4
13,2,1,2,3
2,7,1,5,1
3,2,1,8,2
1,10,1,1,5
2,1,3,2,1
1,11,156,1,561
3,3,16,1,14
9,108,15,4,8
1,3,17,1,24
1,9,1,4,6
1,16,2,1,2
25,42,7,1,5
1,2,2,1,272
3,38,8,1,11
1,22,3,1,1
13,1,384,1,26
3,1,1,6,239
50,36,1,9,284
4,1,118,1,217
5,195,5,1,2
2,39,1,1,13
54,2,83,1,1
70,6,1,1,3
2,13,2,3,2
761,58,28,2,1
15,2,2,1,3
1,2,85,1,2
210,2,46,1,241
1,1,1,1,1
46,3,3,2,4
16,1,1,1,24
4,1,1,4,58
6,1,1,20,77
8,2,3,25,110
2,1,5,31,90
37,1,1,1,3
170,4,1,3,2
122,1,2,5,59
3,1,2,16,4
1,1,1,2,41
1,1,1,3,5
1,1,1,1,1
3,1,1,1,4
46,3,5,1,26
11,1,2,1,1
94,1,1,1,1
1,1,2,1,2
1,1,2,4,3
2,2,1,13,10
24,2,1,43,41
50,1,1,12,2
6,1,1,21,2
119,1,1,1,8
1,5,85,1,1
2,1,2,2,7
1,4,1,5,35
13,2,92,1,1
187,24,4,1,78
21,1,9,3,1
8,9,7,1,3
5,8,4,1,3
163,4,25,1,32
113,8,53,4,1
1,114,3,36,1
1,65,173,175,12
3,6,2,129,135
2,108,1,136,1
54,4,41,65,19
9,22,203,57,1
179,4,7,25,315
1,19,3,7,61
7,18,58,1,7
3,63,1,1,1
69,1,634,4,9
1,2,1,1,26
82,1,2,3,65
5,2,2,2,3
71,5,129,1,1
2,2,92,6,1
3,1,84,6,7
22,133,29,1,27
39,9,1,1,1
70,5,260,1,55
8,1,249,7,3
80,17,41,14,3
1,41,1,2,19
7,33,105,5,2
6,173,12,1,238
1,305,172,1,1
2,335,2,2,3
1,4,1,1,1
1,1,10,1,74
2,3,1,1,96
21,4,101,2,68
8,1,1,2,535
48,109,1,2,4
1,12,17,4,1
14,1,1,3,6
4,10,59,4,1
5,18,9,6,3
9,13,9,10,11
4,1,4,2,2
8,13,75,2,7
47,3,2,11,74
1,50,168,10,1
1,60,7,5,183
12,3,5,1,1
1,37,6,1,2
1,2,1,1,132
6,93,5,1,1
9,2,7,1,5
1,2,1,1,3
1,6,75,4,99
70,11,11,20,72
1,28,1,45,3
1,1,1,34,6
3,1,3,1,2
1,1,1,1,73
1,23,1,1,1
2,5,1,2,122
5,1,1,1,31
1,729,2,2,1
2,163,1,3,4
2,4,1,4,1
1,159,1,2,1
2,1,1,35,6
2,1,2,4,1
8,1,1,6,37
7,7,1,2,13
229,7,4,3,18
82,27,2,1,2
2,1,,2,2
27,32,,1,13
1,5,,1,33
97,10,,8,49
2,3,,9,167
2,11,,2,2
1,1,,1,2
1,2,,1,1
1718,50,,1,1
21,10,,1,226
11,19,,1,2
122,10,,14,2
18,23,,13,1
7,37,,24,5
4,2,,23,51
8,4,,23,1
7,5,,1,16
1,7,,10,24
1,21,,1,8
1,15,,2,4
1,1,,26,1
18,23,,20,220
5,85,,14,1
1,36,,4,1
25,2,,7,2
1,7,,6,108
1,1,,9,27
1,1,,13,1
1,76,,1,1
1,1,,3,1
1,1,,1,86
1,1,,1,78
8,10,,1,1
1,1,,1,171
1,3,,16,15
1,75,,11,1
1,25,,12,9
1,23,,1,2
3,7,,1,2
1,97,,3,1
1,13,,4,18
2,30,,1,143
2,221,,1,1
1,1,,1,1
1,41,,50,7
1,8,,71,4
24,3,,2,71
1,116,,1,17
6,69,,2,19
6,1,,1,258
1,6,,4,1
1,4,,2,8
1,6,,1,4
2,1,,4,20
2,1,,1,9
1,1,,1,1
1,1,,3,1
1,1,,1,4
1,1,,1,5
1,1,,1,4
27,1,,12,2
1,1,,2,1
69,1,,1,1
13,1,,1,2
156,2,,1,10
1,1,,1,175
516,1,,13,8
8,3,,1,3
5,2,,2,2
3,2,,6,1
38,2,,1,18
19,1,,1,1
4,1,,2,2
3,1,,1,281
7,1,,1,104
157,1,,3,2
3,1,,3,1
6,8,,1,1
4,1,,2,1
1,1,,1,24
1,1,,1,1
5,1,,2,1
1,3,,2,1
1,1,,3,2
3,1,,6,158
3,1,,2,1
4,1,,1,1
1,1,,3,2
12,1,,1,12
3,29,,3,9
56,40,,7,1
1,16,,1,1
2,15,,43,1
1,10,,6,1
33,3,,11,1
1,72,,1,2
2,15,,1,5
9,2,,1,11
5,129,,1,1
2,3,,1,2
1,22,,1,1
5,4,,1,125
8,1,,5,25
1,14,,17,298
2,1,,13,4
11,18,,2,5
17,41,,9,1
475,1,,4,1
