CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
44,1,15,2,120
1,2,15,5,115
19,38,15,1,62
473,2,15,14,58
62,3,15,1,34
2,8,15,1,24
3,3,15,1,16
20,1,15,1,14
14,20,15,3,3
1,1,15,1,2
3,5,15,1,1
429,11,15,20,1
3,9,15,1,1
13,7,15,65,1
2,3,15,1,1
1,6,14,1,70
1,2,14,8,70
6,1,14,4,4
2,14,14,79,2
2,1,14,165,2
1,15,14,6,1
8,1,14,2,1
1,6,14,2,1
24,6,14,1,1
2,1,13,1,113
2,1,13,13,100
23,1,13,96,73
44,5,13,13,43
8,1,13,2,25
12,5,13,1,19
2,5,13,1,16
120,1,13,1,8
3,2,13,2,1
6,8,13,2,1
2,10,13,2,1
7,1,13,6,1
6,2,13,26,1
6,1,13,54,1
22,1,13,1,1
4,6,12,1,84
1,4,12,2,63
72,1,12,38,55
2,4,12,42,16
1,1,12,1,6
1,1,12,13,4
3,1,12,10,2
63,1,12,1,1
27,53,12,1,1
2,1,12,2,1
34,3,12,1,1
1,91,11,1,194
2,1,11,1,36
1,13,11,5,8
2,37,11,10,4
5,72,11,2,4
15,1,11,1,3
1,1,11,2,1
10,1,10,37,258
9,2,10,6,118
747,8,10,4,54
1,1,10,14,50
1,2,10,3,39
36,1,10,24,16
1,5,10,1,9
9,1,10,2,8
2,1,10,2,4
5,1,10,1,2
13,50,10,1,2
2,9,10,2,1
2,4,10,1,1
4,8,10,2,1
3,12,10,2,1
2,1,10,2,1
1,1,10,1,1
2,16,10,1,1
10,16,10,229,1
102,17,10,4,1
1,11,9,5,262
1,33,9,6,111
11,1,9,2,38
1,76,9,1,22
22,9,9,6,9
1,1,9,1,9
1,79,9,1,2
1,1,9,5,1
8,3,9,1,1
6,1,9,2,1
11,1,9,1,1
4,37,9,3,1
4,2,9,1,1
1,6,9,2,1
42,1,9,1,1
7,4,9,2,1
5,32,8,7,97
1,1,8,2,97
1,1,8,2,48
10,9,8,1,45
45,1,8,239,29
1,5,8,1,21
2,2,8,1,14
327,7,8,46,11
4,3,8,3,7
6,32,8,2,6
8,1,8,1,6
1,221,8,9,6
1,1,8,95,5
1,4,8,12,4
2,51,8,2,4
1,5,8,1,4
4,4,8,6,1
6,3,8,8,1
3,1,8,82,1
1,12,8,4,1
1,2,8,11,1
1,3,8,2,1
1,1,8,13,1
52,1,7,6,85
2,5,7,1,50
1,28,7,1,36
66,1,7,3,35
60,4,7,39,20
12,27,7,8,17
1,1,7,1,15
84,50,7,1,6
3,1,7,8,5
2,1,7,1,2
5,13,7,9,2
71,29,7,16,2
2,38,7,2,1
3,1,7,1,1
205,1,7,7,1
2,1,7,29,1
1,1,6,1,109
3,3,6,2,43
3,2,6,30,38
2,2,6,2,31
6,1,6,1,29
1,2,6,1,23
1,3,6,65,19
1,1,6,18,16
1,1,6,1,13
18,11,6,49,10
1,57,6,322,5
18,1,6,1,4
1,79,6,2,3
1,55,6,4,3
3,1,6,2,2
1,1,6,24,2
28,9,6,14,2
6,10,6,1,1
1,1,6,1,1
1,5,6,3,1
27,16,6,3,1
13,1,6,1,1
11,3,6,1,1
233,1,5,1,67
7,15,5,1,51
34,1,5,9,31
55,1,5,1,28
7,4,5,3,27
22,1,5,12,24
3,19,5,1,19
2,14,5,2,12
39,247,5,4,12
1,2,5,1,8
39,84,5,4,4
1,1,5,88,4
1,8,5,2,1
15,4,5,37,1
47,1,5,1,1
3,40,5,3,1
1,7,5,4,1
2,3,5,3,1
127,5,5,302,1
1,1,5,2,1
1,7,5,1,1
8,8,4,3,95
13,1,4,5,90
39,1,4,1,80
433,1,4,1,52
1,1,4,1,44
19,6,4,2,34
3,4,4,11,22
7,14,4,19,22
16,8,4,6,20
147,2,4,1,18
1,1,4,1,18
2,2,4,147,18
1,1,4,1,18
529,4,4,2,10
1,1,4,3,9
1,2,4,2,8
14,1,4,20,8
3,8,4,162,7
4,5,4,2,5
3,2,4,4,5
13,44,4,4,5
1,5,4,34,4
127,1,4,1,4
1,3,4,1,4
9,1,4,15,3
22,8,4,3,2
1,11,4,2,2
159,1,4,1,2
3,2,4,6,2
12,4,4,2,1
4,1,4,2,1
3,4,4,1,1
37,2,4,1,1
78,2,4,1,1
3,83,4,1,1
95,3,4,34,1
2,23,4,3,1
2,17,4,5,1
4,4,4,16,1
3,18,4,1,1
48,23,4,1,1
45,1,4,1,1
161,2,4,5,1
49,8,4,1,1
1,1,4,88,1
2,3,3,3,244
62,1,3,1,175
6,1,3,2,109
2,7,3,24,82
1,140,3,1,68
1,3,3,2,68
5,163,3,90,67
11,1,3,3,67
66,1,3,2,65
1,1,3,21,63
1,9,3,2,43
1,2,3,9,39
1,4,3,1,27
3,6,3,19,26
1,4,3,8,23
1,7,3,11,23
47,1,3,1,22
1,2,3,2,20
4,51,3,12,13
1,1,3,1,13
3,3,3,3,12
1,1,3,2,11
1,5,3,1,10
13,1,3,1,9
1,12,3,37,8
2,3,3,5,7
1,10,3,15,7
20,2,3,1,6
1,1,3,2,6
1,62,3,56,5
3,64,3,3,5
17,3,3,1,5
2,7,3,1,4
17,2,3,21,4
1,9,3,3,4
3,8,3,1,3
2,1,3,109,3
3,1,3,3,2
22,4,3,1,2
3,4,3,1,2
5,16,3,1,2
5,43,3,1,2
45,2,3,16,2
1,10,3,1,2
1,1,3,5,2
